Product Name,Category,Product Link,Price,Description,Number of Reviews,Total Ratings,Available In,Product Images,Customer Review,Rec Product Names,Rec Product Links,Rec Product Images,Rec Product Prices
Hair Regrowth Oil,Wellness Oils,https://amrtamya.com/products/hair-regrowth-oil,"Regular price
Rs. 700.00","Hair Regrowth Oil is an authentic ayurvedic concoction of more than 40 herbs and naturals base oils and essential oils. It helps to control hair fall, promotes hair re-growth, helps reverse years of baldness as well.
It has ingredients like Bramhi, Amla, Genugreek, Kalongi, Jatamashi, Bringaraj blended with Rosemary, Camphor and other beneficial 100% natural essntial oils and base oils. ",,,"100 ML, 250 ML, 500 ML, 1 Litres","https://amrtamya.com/cdn/shop/files/47D8CA34-593B-450A-B924-1A31D94F7E28.png?v=1747679221&width=1946, https://amrtamya.com/cdn/shop/files/44F9ACF3-EFA2-4106-840E-DB57FA6E4049.jpg?v=1747679230&width=1946, https://amrtamya.com/cdn/shop/files/BE0AC943-844E-457E-BA09-FA740AC747E9.jpg?v=1747679230&width=1946",,,,,
Joint Pain Relief Oil,Wellness Oils,https://amrtamya.com/products/joint-pain-relief-oil,"Regular price
Rs. 600.00","This oil is blended with Castor, Sesame as base oils and contains various heating herbs (nutmeg, nagarmotha, turmeric, garlic extracts etc)  which provide healing properties arising due to arthritis, sciatica, spondylitis, back pain or any kind of body pain. 
As per ayurveda, pain without injury is mostly related to ""Vata imbalances"" - meaning disturbance of air in the body. 
In order to get best results - the oil should be massaged in a gentle manner at the impacted areas for few minutes (until it penetrates into the skin). Try and cover the impacted area as it promotes heat. Regular use for few days starts to show improvement.
In general, always massage your body with pure oils regularly to avoid ""Vata imbalance"" and its side effects like body pain.",1 review,5.00 out of 5,"100 ML, 250 ML, 500 ML, 1 Litres","https://amrtamya.com/cdn/shop/files/AC3F83AD-3AA8-43C3-97B0-5A464E280920.png?v=1749550741&width=1946, https://amrtamya.com/cdn/shop/files/BDC84CFD-3976-4533-A995-6B3720D19EB3.png?v=1749987219&width=1946, https://amrtamya.com/cdn/shop/files/C4943CE1-E4FC-4C31-B410-CF85EAD021DA.jpg?v=1749987219&width=1946","10/05/2023
DILIPKUMAR TULSIDAS KIRI
Joint Pain Relief Oil",,,,
Wonder Face Oil,Wellness Oils,https://amrtamya.com/products/wonder-face-oil,"Regular price
Rs. 900.00","Wonder Face Oil is a blend of Wood pressed Almond, Chia seed, and Sesame oils, blended with 100% Pure and Naturally distilled Sandalwood, Chamomile, Rose and Khus.  
It helps in holistic healing of skin in terms of nourishment, hydration, pigmentation control, wrinkles control. 
This oil is very light in terms of texture and quickly absorbs upon application.
Regular use of the oil has shown very good results. ",1 review,5.00 out of 5,"100 ML, 250 ML, 500 ML, 50 ML - Dropper","https://amrtamya.com/cdn/shop/files/928EF08D-BEE5-4CC6-BE1B-AC3162DA56E9.png?v=1749551231&width=1946, https://amrtamya.com/cdn/shop/files/IMG-5006.jpg?v=1749551196&width=1946","10/30/2023
santosh mohapatra
item feedback
It is a very very good product.",,,,
Premature Graying,Wellness Oils,https://amrtamya.com/products/hair-care-premature-graying-control,"Regular price
Rs. 500.00","Premature Graying has become a widespread issue these days due to various reasons. In this condition, hair pigmentation is impacted resulting in partial/complete hair graying. Multiple factors have been known to contribute. As per Ayurveda, Pitta Imbalance along with Vitamin D deficiency have known to contribute extensively. 
Premature Graying Control Hair Oil has been blended with Ayurvedic herbs, roots (including Ridge Gourd extract, Amla, bringaraj and few others) to cure this problem.
Oil should be massaged gently on the Scalp for few minutes and should be left for 2 hours or so before cleaning. Any natural/herbal shampoo can be used to clean hair. Oil is safe to be applied overnight as well.
Slowly this oil will start showing results with hair portion near the scalp getting the black color(pigmentation).
The oil has been manufactured keeping Tridoshic balancing properties - This can be used by any body type (Vata, Pitta, Kapha body) and does not have shown any side effects.
NOTE - In general, its advisable to patch test the Oil to check if there it suits an individuals body type.",,,"100 ML, 250 ML, 500 ML, 1 Litres",,,,,,
Rejuvenating Massage Oil,Wellness Oils,https://amrtamya.com/products/rejuvenating-massage-oil,"Regular price
Rs. 475.00",Blended with Almond and Jojoba in equal proportions and soothing 100% natural essential oils - this promotes skin hydration and nourishment alike. Very good for winters to keep dryness in control.,1 review,5.00 out of 5,"100 ML, 250 ML, 500 ML, 1 Litres",,"01/22/2023
Arpit Jain
👍
👍",,,,
Baby Massage Oil,Wellness Oils,https://amrtamya.com/products/baby-massage-oil,"Regular price
Rs. 475.00","This is a blend of 100% natural wood pressed oils and naturally extracted essential oils. Blended with Almond, Jojoba, Sesame seed oils and Kashmir Lavender, Chamomile, Patchouli essential oils - it provides hydration, nourishment and soothes child skin. All the ingredients are edible hence safe to apply on new born children. Given the properties and its benefits, this blended oil is popular amongst the adults as well.",,,"100 ML, 250 ML, 500 ML, 1 Litres","https://amrtamya.com/cdn/shop/files/D345092C-C433-47D4-8F27-45DF75A1D54A.png?v=1747679305&width=1946, https://amrtamya.com/cdn/shop/files/baby-oil_100ml-Photoroom_3e15cfd0-6106-436c-bf47-3118879c9d9b.jpg?v=1747679305&width=1946",,,,,
Hair Shine & Nourishment,Wellness Oils,https://amrtamya.com/products/hair-shine-nourishment,"Regular price
Rs. 450.00","Hair oil/serum is great for promoting hair shine, thickness and nourishment.
Contains - Jojoba Oil, Coconut oil, Flaxseed oil, Castor oil, Sesame Oil, lightly perfumed with 100%natural flower distillates.  ",,,"100 ML, 250 ML, 500 ML",https://amrtamya.com/cdn/shop/files/8E1F88E2-59F6-49C1-BEF5-1FF5D83CFAB9.png?v=1746979821&width=1946,,,,,
Anti-Acne - 10 ML Roll-ON,Wellness Oils,https://amrtamya.com/products/anti-acne-10-ml-roll-on,"Regular price
Rs. 90.00","This blended oil helps heal acne prone skin with Castor, Sesame, Nutmeg, Tea-Tree, Turmeric and other essential oils. 
It needs to be applied at the the impacted areas at night and it starts to show improvement with regular usage.",,,10 ML Roll-ON,,,,,,
After Bath Body Oil- Rose,After-Bath Body oils,https://amrtamya.com/products/after-bath-body-oil-rose,"Regular price
Rs. 1,150.00",,,,,https://amrtamya.com/cdn/shop/files/afterbath-Rose_Oil-Photoroom_1.jpg?v=1746292565&width=1946,,", , , ","https://amrtamya.com/products/wood-pressed-sunflower-oil?pr_prod_strat=e5_desc&pr_rec_id=4a94ff84d&pr_rec_pid=7802851950815&pr_ref_pid=9043933036767&pr_seq=uniform, https://amrtamya.com/products/after-bath-body-oil-mogra?pr_prod_strat=e5_desc&pr_rec_id=4a94ff84d&pr_rec_pid=9043934642399&pr_ref_pid=9043933036767&pr_seq=uniform, https://amrtamya.com/products/after-bath-sandalwood-face-and-body-oil?pr_prod_strat=e5_desc&pr_rec_id=4a94ff84d&pr_rec_pid=8726259859679&pr_ref_pid=9043933036767&pr_seq=uniform, https://amrtamya.com/products/face-body-scrub?pr_prod_strat=e5_desc&pr_rec_id=4a94ff84d&pr_rec_pid=8726272245983&pr_ref_pid=9043933036767&pr_seq=uniform","https://amrtamya.com/cdn/shop/files/352CF1CC-F28D-431A-8F09-40B954A985F2.png?v=1746979612&width=533, https://amrtamya.com/cdn/shop/files/Afterbath-Mogra_Oil-Photoroom.jpg?v=1746292672&width=533, https://amrtamya.com/cdn/shop/files/94937A98-C6FE-4265-9ABD-FB3D54BE8FE1.png?v=1746191320&width=533, https://amrtamya.com/cdn/shop/files/74B526BD-7039-4B74-A534-C238DAF4B574.png?v=1746189215&width=533","From Rs. 275.00, From Rs. 950.00, Rs. 1,700.00, Rs. 550.00"
After-Bath Body Oil- Mogra,After-Bath Body oils,https://amrtamya.com/products/after-bath-body-oil-mogra,"Regular price
Rs. 950.00","After- Bath oil made from Wood pressed Almond and chia seed oils, blended with Mogra extract that keeps you smelling good all day long. ",,,"100ml, 250ml","https://amrtamya.com/cdn/shop/files/Afterbath-Mogra_Oil-Photoroom.jpg?v=1746292672&width=1946, https://amrtamya.com/cdn/shop/files/After-Bath_Mogra_100ml_Back.png?v=1748021072&width=1946, https://amrtamya.com/cdn/shop/files/After-Bath_Mogra_body_oil_250ml_Front.png?v=1748021944&width=1946, https://amrtamya.com/cdn/shop/files/After-Bath_Mogra_body_oil_250ml_Back.png?v=1748021385&width=1946",,,,,
